filename,relative_path,directory,size_bytes,last_modified,is_recent,is_today,status,notes,active_score,inactive_score,uncertain_score,import_count,function_count,class_count,line_count
__init__.py,tidyllm\deprecated\old-tidyllm\compliance\consistency\__init__.py,tidyllm\deprecated\old-tidyllm\compliance\consistency,326,2025-09-04 23:00:43,True,False,uncertain,no_functions_or_classes,0,0,0,1,0,0,13
validation.py,tidyllm\deprecated\old-tidyllm\compliance\evidence\validation.py,tidyllm\deprecated\old-tidyllm\compliance\evidence,6591,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,2,0,1,135
__init__.py,tidyllm\deprecated\old-tidyllm\compliance\evidence\__init__.py,tidyllm\deprecated\old-tidyllm\compliance\evidence,309,2025-09-04 23:00:43,True,False,uncertain,no_functions_or_classes,0,0,0,1,0,0,10
standards.py,tidyllm\deprecated\old-tidyllm\compliance\model_risk\standards.py,tidyllm\deprecated\old-tidyllm\compliance\model_risk,8957,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,3,0,2,197
__init__.py,tidyllm\deprecated\old-tidyllm\compliance\model_risk\__init__.py,tidyllm\deprecated\old-tidyllm\compliance\model_risk,361,2025-09-04 23:00:43,True,False,uncertain,no_functions_or_classes,0,0,0,1,0,0,12
__init__.py,tidyllm\deprecated\old-tidyllm\compliance\__init__.py,tidyllm\deprecated\old-tidyllm\compliance,933,2025-09-04 23:00:43,True,False,uncertain,no_functions_or_classes,0,0,0,3,0,0,28
core.py,tidyllm\deprecated\old-tidyllm\core.py,tidyllm\deprecated\old-tidyllm,8035,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,3,5,2,250
database_integration.py,tidyllm\deprecated\old-tidyllm\database_integration.py,tidyllm\deprecated\old-tidyllm,22889,2025-09-04 23:00:43,True,False,uncertain,uncertain_patterns:2,0,0,2,9,2,4,579
demo_protection.py,tidyllm\deprecated\old-tidyllm\demo_protection.py,tidyllm\deprecated\old-tidyllm,19885,2025-09-04 23:00:43,True,False,uncertain,demo,0,0,0,12,3,4,461
classifier.py,tidyllm\deprecated\old-tidyllm\documents\classification\classifier.py,tidyllm\deprecated\old-tidyllm\documents\classification,11179,2025-09-04 23:00:43,True,False,uncertain,standard,1,0,0,5,0,1,274
__init__.py,tidyllm\deprecated\old-tidyllm\documents\classification\__init__.py,tidyllm\deprecated\old-tidyllm\documents\classification,351,2025-09-04 23:00:43,True,False,uncertain,no_functions_or_classes,0,0,0,1,0,0,13
metadata.py,tidyllm\deprecated\old-tidyllm\documents\extraction\metadata.py,tidyllm\deprecated\old-tidyllm\documents\extraction,11151,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,3,0,1,263
text.py,tidyllm\deprecated\old-tidyllm\documents\extraction\text.py,tidyllm\deprecated\old-tidyllm\documents\extraction,7442,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,3,0,1,195
__init__.py,tidyllm\deprecated\old-tidyllm\documents\extraction\__init__.py,tidyllm\deprecated\old-tidyllm\documents\extraction,382,2025-09-04 23:00:43,True,False,uncertain,no_functions_or_classes,0,0,0,2,0,0,14
business.py,tidyllm\deprecated\old-tidyllm\documents\templates\business.py,tidyllm\deprecated\old-tidyllm\documents\templates,9466,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,5,0,2,221
__init__.py,tidyllm\deprecated\old-tidyllm\documents\templates\__init__.py,tidyllm\deprecated\old-tidyllm\documents\templates,386,2025-09-04 23:00:43,True,False,uncertain,no_functions_or_classes,0,0,0,1,0,0,14
__init__.py,tidyllm\deprecated\old-tidyllm\documents\__init__.py,tidyllm\deprecated\old-tidyllm\documents,987,2025-09-04 23:00:43,True,False,uncertain,no_functions_or_classes,0,0,0,3,0,0,29
dspy_bedrock_enhanced.py,tidyllm\deprecated\old-tidyllm\dspy_bedrock_enhanced.py,tidyllm\deprecated\old-tidyllm,20948,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,14,3,5,550
dspy_enhanced.py,tidyllm\deprecated\old-tidyllm\dspy_enhanced.py,tidyllm\deprecated\old-tidyllm,26808,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,13,3,8,710
dspy_gateway_backend.py,tidyllm\deprecated\old-tidyllm\dspy_gateway_backend.py,tidyllm\deprecated\old-tidyllm,11878,2025-09-04 23:00:43,True,False,uncertain,uncertain_patterns:1,0,0,1,9,2,3,362
dspy_wrapper.py,tidyllm\deprecated\old-tidyllm\dspy_wrapper.py,tidyllm\deprecated\old-tidyllm,22930,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,12,4,9,647
dt.py,tidyllm\deprecated\old-tidyllm\dt.py,tidyllm\deprecated\old-tidyllm,16343,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,3,3,2,475
encrypted_database_integration.py,tidyllm\deprecated\old-tidyllm\encrypted_database_integration.py,tidyllm\deprecated\old-tidyllm,21472,2025-09-04 23:00:43,True,False,uncertain,uncertain_patterns:1,0,0,1,11,2,4,575
standards.py,tidyllm\deprecated\old-tidyllm\enterprise\analysis\model_risk\standards.py,tidyllm\deprecated\old-tidyllm\enterprise\analysis\model_risk,9079,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,3,0,2,200
__init__.py,tidyllm\deprecated\old-tidyllm\enterprise\analysis\model_risk\__init__.py,tidyllm\deprecated\old-tidyllm\enterprise\analysis\model_risk,440,2025-09-04 23:00:43,True,False,uncertain,no_functions_or_classes,0,0,0,1,0,0,14
__init__.py,tidyllm\deprecated\old-tidyllm\enterprise\analysis\__init__.py,tidyllm\deprecated\old-tidyllm\enterprise\analysis,1792,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,1,0,2,54
unified_framework.py,tidyllm\deprecated\old-tidyllm\enterprise\frameworks\unified_framework.py,tidyllm\deprecated\old-tidyllm\enterprise\frameworks,19808,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,4,1,5,454
__init__.py,tidyllm\deprecated\old-tidyllm\enterprise\frameworks\__init__.py,tidyllm\deprecated\old-tidyllm\enterprise\frameworks,679,2025-09-04 23:00:43,True,False,uncertain,no_functions_or_classes,0,0,0,1,0,0,27
platform.py,tidyllm\deprecated\old-tidyllm\enterprise\platform.py,tidyllm\deprecated\old-tidyllm\enterprise,16529,2025-09-04 23:00:43,True,False,uncertain,standard,1,0,0,6,0,2,425
dag_manager.py,tidyllm\deprecated\old-tidyllm\enterprise\workflows\dag_manager.py,tidyllm\deprecated\old-tidyllm\enterprise\workflows,26767,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,9,0,12,693
sparse_system.py,tidyllm\deprecated\old-tidyllm\enterprise\workflows\sparse_system.py,tidyllm\deprecated\old-tidyllm\enterprise\workflows,25037,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,9,0,9,582
__init__.py,tidyllm\deprecated\old-tidyllm\enterprise\workflows\__init__.py,tidyllm\deprecated\old-tidyllm\enterprise\workflows,1295,2025-09-04 23:00:43,True,False,uncertain,no_functions_or_classes,0,0,0,2,0,0,61
__init__.py,tidyllm\deprecated\old-tidyllm\enterprise\__init__.py,tidyllm\deprecated\old-tidyllm\enterprise,2692,2025-09-04 23:00:43,True,False,uncertain,no_functions_or_classes,1,0,0,6,0,0,96
error_handling.py,tidyllm\deprecated\old-tidyllm\error_handling.py,tidyllm\deprecated\old-tidyllm,16810,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,7,7,9,441
error_tracker.py,tidyllm\deprecated\old-tidyllm\error_tracker.py,tidyllm\deprecated\old-tidyllm,21017,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,10,2,5,537
base_gateway.py,tidyllm\deprecated\old-tidyllm\gateway\core\base_gateway.py,tidyllm\deprecated\old-tidyllm\gateway\core,17499,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,9,0,6,491
mlflow_backend.py,tidyllm\deprecated\old-tidyllm\gateway\core\mlflow_backend.py,tidyllm\deprecated\old-tidyllm\gateway\core,18288,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,6,0,1,480
provider_registry.py,tidyllm\deprecated\old-tidyllm\gateway\core\provider_registry.py,tidyllm\deprecated\old-tidyllm\gateway\core,22108,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,7,2,6,580
rate_limiter.py,tidyllm\deprecated\old-tidyllm\gateway\core\rate_limiter.py,tidyllm\deprecated\old-tidyllm\gateway\core,23980,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,7,0,7,644
security.py,tidyllm\deprecated\old-tidyllm\gateway\core\security.py,tidyllm\deprecated\old-tidyllm\gateway\core,20768,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,8,0,5,547
monitoring.py,tidyllm\deprecated\old-tidyllm\gateway\enterprise\monitoring.py,tidyllm\deprecated\old-tidyllm\gateway\enterprise,23549,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,9,0,7,631
spend_tracking.py,tidyllm\deprecated\old-tidyllm\gateway\enterprise\spend_tracking.py,tidyllm\deprecated\old-tidyllm\gateway\enterprise,30959,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,7,0,8,823
database_gateway.py,tidyllm\deprecated\old-tidyllm\gateway\gateways\database_gateway.py,tidyllm\deprecated\old-tidyllm\gateway\gateways,22543,2025-09-04 23:00:43,True,False,uncertain,uncertain_patterns:1,0,0,1,6,0,3,573
file_storage_gateway.py,tidyllm\deprecated\old-tidyllm\gateway\gateways\file_storage_gateway.py,tidyllm\deprecated\old-tidyllm\gateway\gateways,13358,2025-09-04 23:00:43,True,False,uncertain,uncertain_patterns:1,0,0,1,8,0,3,356
llm_gateway.py,tidyllm\deprecated\old-tidyllm\gateway\gateways\llm_gateway.py,tidyllm\deprecated\old-tidyllm\gateway\gateways,15824,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,4,0,2,406
llmdata_integration.py,tidyllm\deprecated\old-tidyllm\gateway\integrations\llmdata_integration.py,tidyllm\deprecated\old-tidyllm\gateway\integrations,17953,2025-09-04 23:00:43,True,False,uncertain,standard,1,0,0,8,14,1,506
mcp_integration.py,tidyllm\deprecated\old-tidyllm\gateway\integrations\mcp_integration.py,tidyllm\deprecated\old-tidyllm\gateway\integrations,18164,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,7,3,4,508
litellm_clone.py,tidyllm\deprecated\old-tidyllm\gateway\litellm_clone.py,tidyllm\deprecated\old-tidyllm\gateway,25011,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,10,8,2,682
__init__.py,tidyllm\deprecated\old-tidyllm\gateway\__init__.py,tidyllm\deprecated\old-tidyllm\gateway,6377,2025-09-04 23:00:43,True,False,uncertain,uncertain_patterns:1;no_functions_or_classes,1,0,1,2,0,0,139
gateway_simple.py,tidyllm\deprecated\old-tidyllm\gateway_simple.py,tidyllm\deprecated\old-tidyllm,21254,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,9,3,3,559
hierarchical_dag_manager.py,tidyllm\deprecated\old-tidyllm\heiros\dag-manager\hierarchical_dag_manager.py,tidyllm\deprecated\old-tidyllm\heiros\dag-manager,25498,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,9,0,12,664
control_signal_nodes.py,tidyllm\deprecated\old-tidyllm\heiros\electrical-system\control_signal_nodes.py,tidyllm\deprecated\old-tidyllm\heiros\electrical-system,20608,2025-09-04 23:00:43,True,False,uncertain,standard,1,0,0,5,1,6,498
dspy_electrical_signatures.py,tidyllm\deprecated\old-tidyllm\heiros\electrical-system\dspy_electrical_signatures.py,tidyllm\deprecated\old-tidyllm\heiros\electrical-system,22842,2025-09-04 23:00:43,True,False,uncertain,standard,1,0,0,9,1,11,631
electrical_workflow_visualizer.py,tidyllm\deprecated\old-tidyllm\heiros\electrical-system\electrical_workflow_visualizer.py,tidyllm\deprecated\old-tidyllm\heiros\electrical-system,21757,2025-09-04 23:00:43,True,False,uncertain,standard,1,0,0,6,0,5,556
flow_schemas.py,tidyllm\deprecated\old-tidyllm\heiros\electrical-system\flow_schemas.py,tidyllm\deprecated\old-tidyllm\heiros\electrical-system,29596,2025-09-04 23:00:43,True,False,uncertain,standard,1,0,0,9,1,10,739
input_source_nodes.py,tidyllm\deprecated\old-tidyllm\heiros\electrical-system\input_source_nodes.py,tidyllm\deprecated\old-tidyllm\heiros\electrical-system,13280,2025-09-04 23:00:43,True,False,uncertain,standard,1,0,0,6,1,6,342
mcp_electrical_decorators.py,tidyllm\deprecated\old-tidyllm\heiros\electrical-system\mcp_electrical_decorators.py,tidyllm\deprecated\old-tidyllm\heiros\electrical-system,23911,2025-09-04 23:00:43,True,False,uncertain,standard,1,0,0,7,3,11,618
output_sink_nodes.py,tidyllm\deprecated\old-tidyllm\heiros\electrical-system\output_sink_nodes.py,tidyllm\deprecated\old-tidyllm\heiros\electrical-system,17763,2025-09-04 23:00:43,True,False,uncertain,standard,1,0,0,5,1,7,454
simple_viz_demo.py,tidyllm\deprecated\old-tidyllm\heiros\electrical-system\simple_viz_demo.py,tidyllm\deprecated\old-tidyllm\heiros\electrical-system,2256,2025-09-04 23:00:43,True,False,uncertain,demo;no_functions_or_classes,1,0,0,3,0,0,68
pdf_extractor_embeddings.py,tidyllm\deprecated\old-tidyllm\heiros\research-pipeline\pdf_extractor_embeddings.py,tidyllm\deprecated\old-tidyllm\heiros\research-pipeline,22010,2025-09-04 23:00:43,True,False,uncertain,uncertain_patterns:2,1,0,2,15,0,6,574
run_pipeline.py,tidyllm\deprecated\old-tidyllm\heiros\research-pipeline\run_pipeline.py,tidyllm\deprecated\old-tidyllm\heiros\research-pipeline,6708,2025-09-04 23:00:43,True,False,uncertain,uncertain_patterns:1,2,0,1,5,1,0,172
sparse_system.py,tidyllm\deprecated\old-tidyllm\heiros\sparse-agreement\sparse_system.py,tidyllm\deprecated\old-tidyllm\heiros\sparse-agreement,28588,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,9,0,9,679
load_testing.py,tidyllm\deprecated\old-tidyllm\load_testing.py,tidyllm\deprecated\old-tidyllm,26405,2025-09-04 23:00:43,True,False,uncertain,test_file,1,0,0,16,2,7,672
multimodal.py,tidyllm\deprecated\old-tidyllm\multimodal.py,tidyllm\deprecated\old-tidyllm,19474,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,8,5,1,487
numpy_compat.py,tidyllm\deprecated\old-tidyllm\numpy_compat.py,tidyllm\deprecated\old-tidyllm,19707,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,5,1,4,532
polars_compat.py,tidyllm\deprecated\old-tidyllm\polars_compat.py,tidyllm\deprecated\old-tidyllm,9712,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,3,7,1,308
analysis.py,tidyllm\deprecated\old-tidyllm\research\analysis.py,tidyllm\deprecated\old-tidyllm\research,18729,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,8,5,1,442
attachments.py,tidyllm\deprecated\old-tidyllm\research\attachments.py,tidyllm\deprecated\old-tidyllm\research,12588,2025-09-04 23:00:43,True,False,uncertain,standard,1,0,0,5,4,0,314
citations.py,tidyllm\deprecated\old-tidyllm\research\citations.py,tidyllm\deprecated\old-tidyllm\research,20069,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,5,10,1,494
core.py,tidyllm\deprecated\old-tidyllm\research\core.py,tidyllm\deprecated\old-tidyllm\research,11511,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,5,1,2,321
discovery.py,tidyllm\deprecated\old-tidyllm\research\discovery.py,tidyllm\deprecated\old-tidyllm\research,12130,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,5,0,1,300
__init__.py,tidyllm\deprecated\old-tidyllm\research\__init__.py,tidyllm\deprecated\old-tidyllm\research,3659,2025-09-04 23:00:43,True,False,uncertain,no_functions_or_classes,1,0,0,5,0,0,131
security.py,tidyllm\deprecated\old-tidyllm\security.py,tidyllm\deprecated\old-tidyllm,18049,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,10,3,6,455
settings_loader.py,tidyllm\deprecated\old-tidyllm\settings_loader.py,tidyllm\deprecated\old-tidyllm,15906,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,5,2,2,408
constants.py,tidyllm\deprecated\old-tidyllm\tidymart\constants.py,tidyllm\deprecated\old-tidyllm\tidymart,6414,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,3,0,8,194
core.py,tidyllm\deprecated\old-tidyllm\tidymart\core.py,tidyllm\deprecated\old-tidyllm\tidymart,23039,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,12,1,4,605
exceptions.py,tidyllm\deprecated\old-tidyllm\tidymart\exceptions.py,tidyllm\deprecated\old-tidyllm\tidymart,1479,2025-09-04 23:00:43,True,False,uncertain,no_imports,0,0,0,0,0,11,54
inmemory.py,tidyllm\deprecated\old-tidyllm\tidymart\storage\inmemory.py,tidyllm\deprecated\old-tidyllm\tidymart\storage,10144,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,9,0,1,274
__init__.py,tidyllm\deprecated\old-tidyllm\tidymart\storage\__init__.py,tidyllm\deprecated\old-tidyllm\tidymart\storage,7394,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,6,0,2,243
__init__.py,tidyllm\deprecated\old-tidyllm\tidymart\__init__.py,tidyllm\deprecated\old-tidyllm\tidymart,2039,2025-09-04 23:00:43,True,False,uncertain,no_functions_or_classes,0,0,0,4,0,0,85
gaussian.py,tidyllm\deprecated\old-tidyllm\tlm\anomaly\gaussian.py,tidyllm\deprecated\old-tidyllm\tlm\anomaly,1518,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,2,3,0,51
scaled_dot_product.py,tidyllm\deprecated\old-tidyllm\tlm\attention\scaled_dot_product.py,tidyllm\deprecated\old-tidyllm\tlm\attention,5988,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,3,4,0,204
kmeans.py,tidyllm\deprecated\old-tidyllm\tlm\cluster\kmeans.py,tidyllm\deprecated\old-tidyllm\tlm\cluster,2206,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,2,3,0,65
activations.py,tidyllm\deprecated\old-tidyllm\tlm\core\activations.py,tidyllm\deprecated\old-tidyllm\tlm\core,1480,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,3,4,0,44
losses.py,tidyllm\deprecated\old-tidyllm\tlm\core\losses.py,tidyllm\deprecated\old-tidyllm\tlm\core,1393,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,3,4,0,46
metrics.py,tidyllm\deprecated\old-tidyllm\tlm\core\metrics.py,tidyllm\deprecated\old-tidyllm\tlm\core,754,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,1,2,0,22
pca_power.py,tidyllm\deprecated\old-tidyllm\tlm\decomp\pca_power.py,tidyllm\deprecated\old-tidyllm\tlm\decomp,3746,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,3,10,0,118
whiten.py,tidyllm\deprecated\old-tidyllm\tlm\decomp\whiten.py,tidyllm\deprecated\old-tidyllm\tlm\decomp,412,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,2,1,0,14
logistic_regression.py,tidyllm\deprecated\old-tidyllm\tlm\linear_models\logistic_regression.py,tidyllm\deprecated\old-tidyllm\tlm\linear_models,1884,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,4,3,0,54
softmax_regression.py,tidyllm\deprecated\old-tidyllm\tlm\linear_models\softmax_regression.py,tidyllm\deprecated\old-tidyllm\tlm\linear_models,2503,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,3,3,0,70
matrix_factorization.py,tidyllm\deprecated\old-tidyllm\tlm\mf\matrix_factorization.py,tidyllm\deprecated\old-tidyllm\tlm\mf,1906,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,2,4,0,58
gmm_pure.py,tidyllm\deprecated\old-tidyllm\tlm\mixture\gmm_pure.py,tidyllm\deprecated\old-tidyllm\tlm\mixture,4738,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,2,6,0,142
split.py,tidyllm\deprecated\old-tidyllm\tlm\model_selection\split.py,tidyllm\deprecated\old-tidyllm\tlm\model_selection,1917,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,1,3,0,56
multinomial.py,tidyllm\deprecated\old-tidyllm\tlm\naive_bayes\multinomial.py,tidyllm\deprecated\old-tidyllm\tlm\naive_bayes,1774,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,2,3,0,56
linear.py,tidyllm\deprecated\old-tidyllm\tlm\svm\linear.py,tidyllm\deprecated\old-tidyllm\tlm\svm,1840,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,4,3,0,51
test_algos.py,tidyllm\deprecated\old-tidyllm\tlm\tests\test_algos.py,tidyllm\deprecated\old-tidyllm\tlm\tests,676,2025-09-04 23:00:43,True,False,uncertain,test_file,1,0,0,1,3,0,20
test_gmm_pca_whiten.py,tidyllm\deprecated\old-tidyllm\tlm\tests\test_gmm_pca_whiten.py,tidyllm\deprecated\old-tidyllm\tlm\tests,1266,2025-09-04 23:00:43,True,False,uncertain,test_file,1,0,0,1,3,0,31
test_nb_anom_mf.py,tidyllm\deprecated\old-tidyllm\tlm\tests\test_nb_anom_mf.py,tidyllm\deprecated\old-tidyllm\tlm\tests,825,2025-09-04 23:00:43,True,False,uncertain,test_file,1,0,0,1,3,0,28
__init__.py,tidyllm\deprecated\old-tidyllm\tlm\__init__.py,tidyllm\deprecated\old-tidyllm\tlm,3255,2025-09-04 23:00:43,True,False,uncertain,no_functions_or_classes,0,0,0,16,0,0,85
gaussian.py,tidyllm\deprecated\old-tidyllm\vectorqa\core\anomaly\gaussian.py,tidyllm\deprecated\old-tidyllm\vectorqa\core\anomaly,1518,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,2,3,0,51
scaled_dot_product.py,tidyllm\deprecated\old-tidyllm\vectorqa\core\attention\scaled_dot_product.py,tidyllm\deprecated\old-tidyllm\vectorqa\core\attention,5988,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,3,4,0,204
kmeans.py,tidyllm\deprecated\old-tidyllm\vectorqa\core\cluster\kmeans.py,tidyllm\deprecated\old-tidyllm\vectorqa\core\cluster,2206,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,2,3,0,65
activations.py,tidyllm\deprecated\old-tidyllm\vectorqa\core\core\activations.py,tidyllm\deprecated\old-tidyllm\vectorqa\core\core,1480,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,3,4,0,44
losses.py,tidyllm\deprecated\old-tidyllm\vectorqa\core\core\losses.py,tidyllm\deprecated\old-tidyllm\vectorqa\core\core,1393,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,3,4,0,46
metrics.py,tidyllm\deprecated\old-tidyllm\vectorqa\core\core\metrics.py,tidyllm\deprecated\old-tidyllm\vectorqa\core\core,754,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,1,2,0,22
pca_power.py,tidyllm\deprecated\old-tidyllm\vectorqa\core\decomp\pca_power.py,tidyllm\deprecated\old-tidyllm\vectorqa\core\decomp,3746,2025-09-04 23:00:43,True,False,uncertain,standard,0,0,0,3,10,0,118
